text;,sentimiento
"RT @angelamrobledo: Según el Observatorio Rural tenemos la mejor propuesta rural y agraria para el país

La Colombia rural sabe que pued…";, 1
RT @elespectador: La prohibición al porte de armas de fuego que llevó a la reducción de la tasa de homicidios en Bogotá es uno de los log…;, 1
RT @gerapo2006: Según el observatorio rural de la Universidad la Salle la propuesta de @petrogustavo es la mejor calificada. Ésto no sólo i…;, 1
Por fin en casa por fin en mi camit agh 😍;, -1
 @petrogustavo Si usted cree que solo hay 2 opciones es porque se dejo manipular de los medios e incuest… https://t.co/67Y7KrYkcm;, -1
RT @lauram113: @PazQuerida @DeLaCalleHum @petrogustavo @German_Vargas @sergio_fajardo @IvanDuque No sigan consejos de asesores que prefiere…;, -1
RT @elespectador: Nació en Bogotá pero fue bautizado en Ciénaga de Oro (Córdoba) de donde se siente más cercano. Él es @petrogustavo el…;, -1
RT @MargaritaRepo: Una prueba más de que muchos quieren llegar a la presidencia a robar. Como lo hacen todos los líderes del Socialismo del…;, -1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @petrogustavo 
❤ @German_Vargas https://t.co/LOfplaEexZ";, -1
RT @corsario602: @IvanCepedaCast Denuncian o denuncié? Y por qué denuncie a @petrogustavo por instigar y promover hechos de violencia si n…;, -1
RT @MACMontt: @cmbustamante @petrogustavo Sera que esa deudita del pichón de Petro la sacarán del costo del metro subterraneo de la Bogotá…;, -1
"RT @apgerto: @juanramos_747 @CHC31 @IndignadosVezla @petrogustavo@IvanDuque@MariaConchita_A@AlvaroUribeVel;@alcaldeledezma@TemplarioRes…";, -1
"RT @jndevis: El problema no es sólo q el bocón hijo de .@petrogustavo sea un estafador mala paga

La verdadera lectura entre líneas de es…";, -1
RT @elespectador: La prohibición al porte de armas de fuego que llevó a la reducción de la tasa de homicidios en Bogotá es uno de los log…;, -1
#PetroEnBlu Hoy podemos estar totalmente seguros que los medios nunca los cerrará la Colombia Humana. Ellos se cier… https://t.co/qnsZAAmv35;, 1
"RT @EIExpedienteCol: \Cuando mi papá gane la presidencia le pago los $120 millones\"" Nicolas Petro cuadra sus cuentas para luego de eleccion…""";, 1
RT @CMarioLopezJ: #LaPolíticaDelAgua coincide con @petrogustavo  la defensa del borde sur d Chía @ReservaVDHammen significa 1. Protección d…;, 1
Es verdad que este criminal @petrogustavo  ama tanto a los pobres que los quiere multiplicar...! https://t.co/a1X1walHqL;,-1
RT @HOLLMANMORRIS: El pueblo de Gaitán y de Galán se une a la Colombia Humana. ¡Sectores liberales anuncian hoy en Bogotá su apoyo a @petro…;, 1
Esto es lo que voy hacer el resto de la semana @petrogustavo @angelamrobledo @GustavoBolivar dios los bendiga… https://t.co/ooJ9lwvZz1;, 1
"RT @EdgMauGarcia: ¿Que propone @petrogustavo?

#ConPetroAvanzamosPaís.
#PetroPresidente. https://t.co/IvqnbFTC6R";,-1
RT @archangelusvzla: @BeatrizEFlorez1 @CHC31 @petrogustavo @IvanDuque @MariaConchita_A @AlvaroUribeVel @alcaldeledezma @TemplarioResisT @Al…;,-1
"RT @GongoraVar: @CarlosS82074261 @BluRadioCo @petrogustavo El estilo socialista: ...\me eliges o me impongo a la fuerza\""""";,-1
RT @EdgMauGarcia: Somos jóvenes comprometidos con un ideal de cambio y progreso para Colombia que vemos en @petrogustavo la única opción d…;, 1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
 @nytimeses @petrogustavo @nicolaspetroB @GustavoBolivar @PizarroMariaJo @DavidRacero @ColombiaHumana_… https://t.co/al9MhCKHf7;,-1
 @ClaudiaLopez @AngelicaLozanoC @petrogustavo @amoralesan @jcuestanovoa No es perder el tiempo busca… https://t.co/Ux3cBnwITB;,-1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
 @LiteratoCarlos @DidierBecerra5 @alulava @mluciaramirez @MariaUribe64 @BluRadioCo @petrogustavo Según uste… https://t.co/uIfCog9XVX;,-1
 Es un reto jajaja;,-1
RT @HOLLMANMORRIS: Importante adhesión de sectores liberales a @petrogustavo. Creen en la propuesta de la Colombia Humana. Este domingo vam…;, 1
RT @ClaudiaLopez: Los amaba tanto que disparó la pobreza y miseria en Venezuela https://t.co/qM7cABnFDn;,-1
 @petrogustavo @IvanDuque Señor a lo suyo por favor. Por este lado sus críticas quedan en el aire.… https://t.co/JOLj5NnMXu;,-1
"Estoy viendo en h&amp;h que una chica de 19 años se opera la nariz implantes mamarios y se hace el culo. Muero de envidia";,-1
 ¿Qué ocultará... @petrogustavo? sus seguidpres sin argumentos sobre el tema. https://t.co/XAyLwj3TXi;,-1
RT @smilelalis: A mi me demuestran con pruebas que @petrogustavo es un corrupto y ese mismo día lo dejo de apoyar pero salir con bobadas c…;, 1
RT @amompotes: ¡Llega #ElDebate! Escuche las ideas de @IvanDuque @petrogustavo @sergio_fajardo @german_vargas y @delacallehum este jueve…;,-1
RT @BluRadioCo: #AlAire “Se necesita quitarle el control a los banqueros del dinero pensional”: @petrogustavo #MañanasBLU #PetroEnBLU https…;, 1
"RT @isamg6: #PetroEnBLU  @petrogustavo dice que Hugo Chávez quería a los pobres los quería pero POBRES. \NO es que vamos a sacar a la gent…""";,-1
RT @RiveraMarcelo20: @petrogustavo Ya le cumplí a Colombia Humana 2018 La Paz con justicia social: más libros y menos armas para que los j…;, 1
" @petrogustavo UN BANDIDO LADRÓN
 NO QUIERE A NADIE";,-1
RT @JaviGuacaneme: \La educación es un DERECHO y debe ser gratuita o deja de ser derecho si hay q pagar alguien se queda sin derecho;,-1
"Colo…""";,-1
RT @jbagbam74: Qué opinan los intelectuales que apoyan a @sergio_fajardo de su reunión con @petrogustavo ?;, 1
 @HOLLMANMORRIS @petrogustavo Ya tiene uno en su staff!;, 1
"17.711 votos para el mejor ídolo @mariobautista_ 💕

#MTVLAINSTAMXMARIOB
#PremiosMTVMiaw";,-1
RT @HOLLMANMORRIS: Cuando @petrogustavo entregó viviendas en Bogotá. Ahora lo hará en todo Colombia. https://t.co/Q9MYx5mEo9;, 1
RT @MargaritaRepo: Una prueba más de que muchos quieren llegar a la presidencia a robar. Como lo hacen todos los líderes del Socialismo del…;,-1
"RT @JJTrellezV: El video que @petrogustavo no quiere que nadie vea
https://t.co/zyJzWpngC9";,-1
"RT @luismorales0621: Hoy en @BluRadioCo @petrogustavo afirmó que entregó los hospitales distritales con \superávit\"". No es posible hablar d…""";, 1
 El de mis codos no??;,-1
RT @CesarPachonAgro: Nunca imaginé como Campesino que pudiera estar compartiendo un sueño de país al lado de un gran hombre y un gran equip…;,-1
RT @JusticiaesPaz34: Y @petrogustavo que dirá??????? https://t.co/TXKzwKQz2N;,-1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;,-1
RT @VengaPregunteme: Cite en este trino el orden en el cuál votaría sea @DeLaCalleHum @sergio_fajardo @German_Vargas @IvanDuque @petro…;,-1
RT @ClaudiaLopez: Qué tal esto. Gustavo Bolívar volvió “delito” criticar las propuestas o pronunciamientos de Petro....si eso es simplement…;,-1
 @BluRadioCo @petrogustavo Buena explicación el término desmontar se presta para mal interpretar.… https://t.co/IkU61icYW8;, 1
RT @elespectador: Nació en Bogotá pero fue bautizado en Ciénaga de Oro (Córdoba) de donde se siente más cercano. Él es @petrogustavo el…;, 1
 @NestorMoralesC @petrogustavo Ya no escucho BLU Radio me pasé a RCN AM con Yolanda Ríos lo mejorcito de RCN.;, 1
 @TimoFARC @FARC_EPueblo @petrogustavo No crean en nada que se parezca a chavez;,-1
 @CesarPachonAgro @ammejiaaguado @PizarroMariaJo @nicolaspetroB @petrogustavo @HOLLMANMORRIS… https://t.co/G4NAeuN3vJ;, 1
"RT @SANTAMARIAURIBE: Acuérdense que .@petrogustavo ha dicho insistentemente que quiere manejar nuestros ahorros pensiónales.
Eso ya pasó en…";,-1
La verdad sobre @petrogustavo y el M19  https://t.co/6l04QLOpjk;,-1
 @RevistaSemana @petrogustavo Es así movilizar mantenidos y hampones...qué peligro este tipo!;,-1
"RT @Canal1Colombia: Una de las frases más polémicas de @petrogustavo en esta campaña presidencial. ¿Usted qué opina?

Siga las #EleccionesC…";,-1
RT @Annonnymous_R: Alerta fraude electoral en consulado españa! @petrogustavo @GustavoBolivar @PaisMenosPeor @hackerFiscalia https://t.co/k…;, 1
RT @DIEGOTIUZO: ¿Alguien recuerda si el señor @petrogustavo hace 4 años cuando apoyó de frente la candidatura de los señores @JuanManSantos…;,-1
RT @graffitiborrao: Alejandra Barrios directora de la MOE-Misión de Observación Electoral le da la razón a @petrogustavo no se hizo audi…;,-1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @petrogustavo 
❤ @German_Vargas https://t.co/LOfplaEexZ";, 1
"RT @VLADDO: Es ingenuo —absurdo, incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";,-1
RT @Andres7mendoza: @JorgeMa22329310 @elespectador @petrogustavo Si todos los que piensan por usted votaran por el lo tendriamos como pres…;, 1
"RT @OscarG_Sanchez: Esto hay que leerlo. Semana reconoce los 48 colegios de @petrogustavo: 18 construídos 7 comprados y 23 en obra.

Gusta…";, 1
RT @CocaOswaldo23: Si @petrogustavo pierde las elecciones hay fraude y si en el hipotético caso que gane? El fraude sigue? #PatriaBoba;, 1
 Compa si gana esa basura @petrogustavo créame que le quitan lo que sea así es el socialismo joden al que… https://t.co/DitBrxSbmi;,-1
 @elsemblante @SintraemsdesCal @pensando_inc @petrogustavo Me preguntó si tuvo el mismo interés en l… https://t.co/bSSOgxMgi6;,-1
RT @angelamrobledo: Esta noche a las 8:30 pm estaré en Canal Capital conversando de las propuestas con las que junto con @petrogustavo vamo…;, 1
RT @YAMBITARA: Sí petristas es el hijo de @petrogustavo y es Rugeles quien se lo destapa... Pero las pruebas que les muestra merecen que p…;,-1
 @GustavoBolivar @GiordanoBrunoFi @S_Caballer0 @petrogustavo @sergio_serrano_ @Sebasripiau @periodista19… https://t.co/bYr1PM7uT2;, 1
"RT @OscarG_Sanchez: Esto hay que leerlo. Semana reconoce los 48 colegios de @petrogustavo: 18 construídos 7 comprados y 23 en obra.

Gusta…";, 1
Necesito saber la direccion exacta de @Kabina1mayo;,-1
Disfrutando del lanzamiento oficial de la #TemporadaDeFestivales https://t.co/CO9hUAwzZ2;,-1
"17.710 votos para el mejor ídolo @mariobautista_ 💕

#MTVLAINSTAMXMARIOB
#PremiosMTVMiaw";, 1
 @LuisCar80177716 @Xx41032218 @mluciaramirez @BluRadioCo @petrogustavo Estudie.;,-1
 @EnriquePenalosa Gente que responde a un mensaje de condolencias con agresiones políticas es igual de cínico o peor.;,-1
RT @cmbustamante: Se cuecen habas! ... @petrogustavo @sergio_fajardo https://t.co/ZHpEBXhEI8;, 1
"RT @ByHumana: Múltiples razones tienen los jóvenes para votar por @petrogustavo PRESIDENTE
#ColombiaHumanaYa
@JovenesConPetro
@JuventudProg…";, 1
Te ganaste los votos de la comunidad lgtb. https://t.co/91NUQIBrJ7;, 1
 @CesarPachonAgro @petrogustavo @GustavoBolivar @PizarroMariaJo @AlirioUribeMuoz @ExtraBoyaca… https://t.co/NIIcT82jSj;,-1
"RT @VLADDO: Es ingenuo —absurdo incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";,-1
"RT @CaracolRadio: #EleccionesColombia | @petrogustavo es el único candidato que no ha hecho pública su declaración de renta

---&gt; https://t…";,-1
RT @ClaudiaLopez: Los amaba tanto que disparó la pobreza y miseria en Venezuela https://t.co/qM7cABnFDn;,-1
RT @JJoseTrujillo: Que un hp mantenido como el hijo de @petrogustavo -el tal @nicolaspetroB- ande negociando a futuro sus deudas esperanzad…;,-1
RT @JuanRealDC: No pues Petro salió más torturado que José Raquel Mercado el sindicalista al que el M-19 secuestró torturó mató y arroj…;,-1
"RT @VLADDO: Es ingenuo —absurdo incluso— pensar que el antídoto contra @AlvaroUribeVel es @petrogustavo; y viceversa.
Esa no puede ser la…";,-1
"RT @CaracolRadio: #EleccionesColombia | @petrogustavo es el único candidato que no ha hecho pública su declaración de renta

---&gt; https://t…";,-1
RT @ClaudiaLopez: Qué tal esto. Gustavo Bolívar volvió “delito” criticar las propuestas o pronunciamientos de Petro....si eso es simplement…;,-1
RT @lasillavacia: . @petrogustavo es el único candidato presidencial que no ha revelado su declaración de renta más reciente. Eso deja vari…;,-1
RT @ELTIEMPO: ¡No deje que otros decidan por usted! Este jueves 24 de mayo los candidatos a la Presidencia de Colombia @DeLaCalleHum @petr…;, 1
RT @Antequerajose: Esta noche a las 8:30 la candidata a la Vicepresidencia de Colombia Humana @angelamrobledo en @CanalCapital https://t.co…;, 1
"17.711 votos para el mejor ídolo @mariobautista_ 💕

#MTVLAINSTAMXMARIOB
#PremiosMTVMiaw";,-1
RT @juanaafanador1: Yo Juana Afanador les invito a votar este domingo 27 de Mayo por @petrogustavo . Llenos de esperanza y de emoción! #Fe…;, 1
 @petrogustavo Esa Vieja estaba muy afanada por casarse pensaria que se iba a quedar soltera?;, 1
RT @angelamrobledo: Periodistas de @BluRadioCo a tomar goticas de https://t.co/yMOR9KD9RO lograron arrinconar a @petrogustavo entre el cuña…;,-1
"RT @HOLLMANMORRIS: NO HABRÁ OBSERVACIÓN INTERNACIONAL DE LAS ELECCIONES EN COLOMBIA 1/2.
Paul Emile Dupret, jurista del Parlamento Europeo…";, 1
"RT @EdgMauGarcia: \Igual de irracional que fue meter el dinero de la educación en la guerra... igual de irracional es usar nuestra agua par…""";,-1
#RecursoNORenovable....les suena el término!!!??? https://t.co/1LE4Rajjtl;, 1
 Y por qué cuando bajó tanto el precio del petróleo no lo hizo así la gasolina en Colombia? No me cuadra esa explicación;,-1
"RT @ErikaSalamanca: Chávez amaba tanto a los pobres que los multiplicó. Y Petro hará lo mismo. Cuidado Colombia. 

#NiSocialismoNiContinui…";, 1
Jueputa ya ni vida social tengo creo que debo cambiar de trabajo 😔😔;,-1
RT @rudolph_s_a: Los que vamos a votar por @petrogustavo no somos de extrema izquierda. Somos de extrema indignación por estos 200 años de…;, 1
 @petrogustavo Según la Fiscalía (El Tiempo 15-10-17 ) el partido de la U es la fuerza con mayor númer… https://t.co/zb3nCmuF1W;,-1
RT @Fannygonzalezt: A los enemigos de #HidroItuango encabezados por @petrogustavo y @elespectador les cuento que fue superada la etapa crít…;, 1
 @pabloemoralesz @javosss @rvargas1076 @EIExpedienteCol @petrogustavo Ese el unico que se rebaja al nivel de Petro;, 1
"RT @CaracolRadio: #EleccionesColombia | @petrogustavo es el único candidato que no ha hecho pública su declaración de renta

---&gt; https://t…";,-1
RT @BluRadioCo: #AlAire “No vamos a quitar la propiedad privada no vamos a expropiar a nadie nunca lo hice como alcalde de Bogotá”: @petr…;, 1
 Estuviste de mal genio y con sueño?;,-1
RT @hernan_ribon: @petrogustavo @HOLLMANMORRIS @GustavoBolivar @carlosecaicedo Desde #Argentina nos envía esta foto  apoyando  la propuest…;,-1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;, 1
"RT @ColombiaHumana_: Lo que debes saber para cuidar los votos.

Encuentro de líderes con @petrogustavo y @angelamrobledo https://t.co/WCHCr…";, 1
RT @ClaudiaLopez: Qué tal esto. Gustavo Bolívar volvió “delito” criticar las propuestas o pronunciamientos de Petro....si eso es simplement…;,-1
RT @apgerto: @juanramos_747 @CHC31 @IndignadosVezla @petrogustavo @IvanDuque @MariaConchita_A @AlvaroUribeVel @alcaldeledezma @TemplarioRes…;, 1
RT @lilianamelo: Que sinvergüenza! Ahora el pago de deudas es cuestión de ganar la presidencia? Nicolás Petro Hijo de @petrogustavo cumpl…;,-1
"17.712 votos para el mejor ídolo @mariobautista_ 💕

#MTVLAINSTAMXMARIOB
#PremiosMTVMiaw";,-1
" Muy buenas noches
Un saludo desde Bogotá colombia";, 1
RT @YAMBITARA: Sí petristas es el hijo de @petrogustavo y es Rugeles quien se lo destapa... Pero las pruebas que les muestra merecen que p…;, 1
RT @Contravia: 'Usted quiere que la opinión pública crea que apoyo a Maduro lo repite cada mañana y eso es falso' @petrogustavo en @BluRad…;, 1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;, 1
RT @smilelalis: A mi me demuestran con pruebas que @petrogustavo es un corrupto y ese mismo día lo dejo de apoyar pero salir con bobadas c…;, 1
RT @JuanRealDC: Ahora digan que el de la Foto de la plana mayor del M-19 no es @petrogustavo 🙊 https://t.co/dOYN4bAub5;,-1
RT @perseovelez: @cmbustamante @petrogustavo Pero los medios no dicen nada de esto donde estan @RevistaSemana @WRadioColombia @CaracolRadi…;, 1
RT @DanielSamperO: Gracias a @DeLaCalleHum @sergio_fajardo y @petrogustavo por asistir ayer a #YoutubersVsCandidatos: ejemplar su compromi…;, 1 
" @petrogustavo La ridiculez en su punto máximo ajjajajajajajaja #Yovoyconpetro 
Seré una mocosa, pero pare… https://t.co/ZGO2wHhMhA";, 1
RT @La_eche: Nunca escucho a @LaPullaOficial x gritona y xq esa manera fácil de hacer periodismo me parece peligrosa sin embargo tanto le…;,-1
 Un articulo que usted dirá que es un montaje... https://t.co/ePsYBwmzo0;, 1
 @AdamSmithFree @BluRadioCo @mpatino89 @petrogustavo Muy mal esos ejemplos son de pendejos vayan a… https://t.co/USH5ggv8tJ;,-1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @sergio_fajardo 
❤ @petrogustavo https://t.co/9ZDZmgusFb";, 1
 @Ed_arry @sergio_fajardo @petrogustavo Parece que Las maquinarias se van a quemar que piensan 👏🏻👏🏻 https://t.co/sYUnRPyLaZ;, 1
Lo que faltaba en la red...... https://t.co/VKq4sV4WjC;, 1
Morales es inmoral debería aclarar que es cuñado de Duque https://t.co/Pje9HXDcNp;,-1
Les presento al profesor @charry_manager quien hizo parte del equipo técnico encargado de diseñar las propuestas ag… https://t.co/lj7zLT29B7;, 1
Que pecadito con el angelito!! @petrogustavo sinverguenzas!!! @GustavoBolivar https://t.co/4ax8blzIzy;,-1
RT @RevistaSemana: #Confidenciales | @ClaudiaLopez le pide a @petrogustavo su declaración de renta https://t.co/tJNS0rpJWF https://t.co/CQQ…;, 1
 @GolCaracol Somos allá!;, 1
RT @EdgMauGarcia: Somos jóvenes comprometidos con un ideal de cambio y progreso para Colombia que vemos en @petrogustavo la única opción d…;, 1
"RT @ColombiaHumana_: Lo que debes saber para cuidar los votos.

Encuentro de líderes con @petrogustavo y @angelamrobledo https://t.co/WCHCr…";, 1
RT @AlejoCons: Acabo de escuchar está entrevista jajajaja la peinada de @petrogustavo a @NestorMoralesC es increíble. El cuñado insistía en…;, 1
RT @harold_cortes1: Cuando @petrogustavo salga a hablar de los hijos de Uribe hay que mostrarle la investigación de @GustavoRugeles publica…;,-1
RT @rudolph_s_a: Los que vamos a votar por @petrogustavo no somos de extrema izquierda. Somos de extrema indignación por estos 200 años de…;, 1
RT @ManosLimpiasCo: ATENCION: Alejandra Barrios directora de @moecolombia confirma que lo que dice @petrogustavo. La @Registraduria debe p…;, 1
Mi cumpleaños huele a Cartagena 🤩🌊☀️❤️;,-1
 @petrogustavo @GustavoBolivar @PizarroMariaJo @ELDIARIOBOYACA @boyacasietedias @AlirioUribeMuoz… https://t.co/uXA8wBQW2f;, 1
RT @DanielSamperO: Gracias a @DeLaCalleHum @sergio_fajardo y @petrogustavo por asistir ayer a #YoutubersVsCandidatos: ejemplar su compromi…;, 1
 @petrogustavo para eso existen las vias democráticas y otros paises donde crecen también los aguacates #elcambioesya;,-1
 @petrogustavo @sergio_fajardo @DeLaCalleHum Tienes razón Diana el objetivo es que el títere no quede de Presidente;,-1
"RT @CaracolRadio: #EleccionesColombia | @petrogustavo es el único candidato que no ha hecho pública su declaración de renta

---&gt; https://t…";, 1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
 @NestorMoralesC @petrogustavo Nunca he visto a @NestorMoralesC tan perfectamente peinado como lo p… https://t.co/HFbxugxr7j;, 1
 @GustavoBolivar @petrogustavo Digno y brillante. Grandes Sr Petro.;, 1
RT @LedyBlanco3: Este Hombre es la esperanza de Colombia el es el sueño de miles de Colombianos por una Colombia Libre este hombre señora…;, 1
 echando pola con todos@petrogustavo besando abuelitos @German_Vargas bailando en tv nacional junto a… https://t.co/ywp9banyVU;, 1
RT @Vargas_Lleras_: Vamos comprendiendo por donde va el negocio de las energías limpias @petrogustavo @nicolaspetroB https://t.co/HexpLqfEhq;, 1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;, 1
"RT @JuanRealDC: El hijo de Petro cara de emprendedor emprendedor no tiene...
Para mí que esa plática era para invitar a Mafe Carrascal que…";,-1
"RT @GustavoRugeIes: #Daro Casi linchan a @petrogustavo a su llegada a Cartagena; esto es lo qué pasa siempre pero él dice que es apoyo popu…";,-1
RT @andrewholes: Me gustaría preguntarle a @petrogustavo por qué los votos que van a depositar por él son limpios mientras que los que va…;, 1
“No sé” https://t.co/9MV9eC5OIg;,-1
RT @RevistaSemana: #Confidenciales | @ClaudiaLopez le pide a @petrogustavo su declaración de renta https://t.co/tJNS0rpJWF https://t.co/CQQ…;, 1
"RT @GustavoRugeles: \Cuando gane la presidencia le pago los $120 millones\"". @nicolaspetroB cuadra sus cuentas para luego de elecciones.";,-1
"E…""";,-1
 @petrogustavo Hubiese sido Tomás o Jerónimo da do esta respuestas el escándalo hubiese llenado primeras… https://t.co/EElAz5wKjJ;, 1
RT @ManosLimpiasCo: ATENCION: Alejandra Barrios directora de @moecolombia confirma que lo que dice @petrogustavo. La @Registraduria debe p…;, 1
 @petrogustavo Mucho de Petro tiene sentido pero cual es su real proposito;, 1
RT @juanaafanador1: Yo Juana Afanador les invito a votar este domingo 27 de Mayo por @petrogustavo . Llenos de esperanza y de emoción! #Fe…;, 1
RT @AndrsTrece: Aaaay. Pero con la de Uribe eso sí es un acto de amor. https://t.co/f90zYM0HHm;, 1
"RT @ErikaSalamanca: Chávez amaba tanto a los pobres que los multiplicó. Y Petro, hará lo mismo. Cuidado Colombia.

#NiSocialismoNiContinui…";,-1
RT @MCristi66485088: @cmbustamante @petrogustavo ¡Hijo de rata rata!. Es igual a su padre. Las ratas ¡NO deberían reproducirse!.;,-1
RT @VLADDO: Que @petrogustavo no divulgue su declaración de renta no sólo es una decisión torpe y arrogante sino que no es coherente con s…;, 1
RT @Teticaida: Hola @petrogustavo ya voté por ti. 😍 Hola @angelamrobledo ya voté por ti también 😍 https://t.co/xgEUipGIf2;, 1
 @petrogustavo importante tmb cuidar los votos necesitamos un testigo en cada mesa para evitar el fraud… https://t.co/lJ3PpoDtaf;, 1
RT @ClaudiaLopez: Los amaba tanto que disparó la pobreza y miseria en Venezuela https://t.co/qM7cABnFDn;,-1
RT @josiasfiesco: El unico software que funciona y le da confianza a @petrogustavo es el de Maduro. #MañanasBLU #PetroEnBLU;,-1
Inspirar confianza.! Ser transparente está en las transacciones en #Blockchain Dice @JorgeHAriasB @OracleCOL… https://t.co/KogIxkOnEX;, 1
A mí me responden cada tres horas y yo si como marica respondiendo al momentico 😑;,-1
RT @gerapo2006: El salto del petróleo a la transición energética es una necesidad inmediata o para la economía nacional. @petrogustavo es e…;, 1
RT @saludhernandezm: Pregunta a @petrogustavo : Si voy a la plaza el domingo a las 4.30 cargo piedras? Llevo pancartas de “Nos robaron”? Q…;, 1
Yo cuando gano un proceso. https://t.co/QaVshmhoi7;, 1
 Tener un alguien.;, 1
 @LiteratoCarlos @DidierBecerra5 @alulava @mluciaramirez @MariaUribe64 @BluRadioCo @petrogustavo Ahora… https://t.co/8Epgjscflm;, 1
RT @rudolph_s_a: Los que vamos a votar por @petrogustavo no somos de extrema izquierda. Somos de extrema indignación por estos 200 años de…;, 1
RT @HOLLMANMORRIS: Cuando @petrogustavo entregó viviendas en Bogotá. Ahora lo hará en todo Colombia. https://t.co/Q9MYx5mEo9;, 1
RT @pedrogarciao: Me entero leyendo prensa que @petrogustavo mismo que vio los anaqueles de los supermercados llenos en Caracas y quiere s…;,-1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
RT @GuillermoBotero: Increíbles 2 cosas:@petrogustavo desconoce resultados electorales Venezuela por fraudulentas. En cambio aquí denuncia…;,-1
 @petrogustavo Mas fácil se gana el baloto;, 1
RT @MOinternationa: Todo comunista sueña con el poder y llegar a la Presidencia para desde ahí acabar con los ricos convertirlos en pobres…;,-1
RT @PaolitaLopez: @johnalexmh @VLADDO @petrogustavo Desde esa lógica Petro se está igualando a AUV;,-1
"RT @Eleccionescolom: En un escenario de segunda vuelta por quién votaría?

🔁 @petrogustavo 
❤ @German_Vargas https://t.co/LOfplaEexZ";, 1
 @petrogustavo @JACOBOSOLANOC Ya dió las explicaciones esta mañana en @BluRadioCo;, 1
"RT @HOLLMANMORRIS: \Desde que tengo uso de razón Colombia sigue igual este país necesita un cambio una persona inteligente porque de eso…""";, 1
RT @HOLLMANMORRIS: Cuando @petrogustavo entregó viviendas en Bogotá. Ahora lo hará en todo Colombia. https://t.co/Q9MYx5mEo9;, 1
